Name,Utility
Antila 24.4,0.4
Maxus 24 Evo,0.0
Aquatic 25T,0.4
Mariner 24,0.6
Laguna 25,1.0
Phobos 25,0.6
Antila 24,0.8
Antila 28.8,0.6
Phobos 24.5,0.8
Antila 24.4 #2,1.0
Phobos 25 #2,0.8
Maxus 24 Evo #2,0.8
Maxus 24,1.0
Tes 246 Versus,0.6
Janmor 25,0.8
Phobos 24.5 #2,0.6
