Name,Utility
Laguna 25,0.205511
Maxus 24,0.132799
Antila 24,0.132643
Antila 24.4 #2,0.112955
Aquatic 25T,0.110620
Janmor 25,0.102568
Antila 24.4,0.096458
Mariner 24,0.090382
Maxus 24 Evo #2,0.079154
Phobos 25,0.075675
Antila 28.8,0.074856
Maxus 24 Evo,0.065875
Tes 246 Versus,0.062864
Phobos 24.5 #2,0.062461
Phobos 24.5,0.056438
Phobos 25 #2,0.051376
